# {"t_start": 1589491546.937933, "env_id": "Walker2DBulletEnv-v0"} 
r,l,t
18.131629,14,38.953606
15.708017,11,38.996876
20.232772,13,39.037686
20.17329,16,39.084624
13.387735,9,39.11206
15.52644,9,39.139006
19.195862,15,39.184016
18.42151,17,39.235432
14.963796,9,39.262957
18.223183,15,39.307804
17.966838,11,39.341754
16.226625,12,39.378838
14.147598,9,39.411626
16.765278,10,39.442612
15.020871,8,39.467123
17.278886,16,39.515928
18.213829,11,39.549315
16.426637,12,39.584086
14.844871,8,39.609281
17.89576,14,39.651952
15.992928,11,39.68565
16.005376,10,39.716607
13.897692,13,39.755512
20.590969,18,39.808811
18.482427,12,39.844843
15.72603,9,39.872921
17.75904,13,39.913086
18.201676,15,39.957882
15.261248,10,39.988052
14.344739,8,40.020915
18.843728,11,40.055607
18.778078,12,40.091578
19.757722,14,40.133981
15.940079,10,40.164349
16.949084,11,40.198097
19.557055,13,40.237322
19.711131,17,40.287971
15.269845,10,40.319103
16.93324,11,40.352217
15.395717,9,40.379628
15.799516,9,40.41292
14.398655,8,40.438983
17.736777,13,40.478972
23.072417,16,40.527442
17.384765,14,40.569204
16.780079,11,40.602038
20.159822,14,40.643977
18.328011,12,40.679597
20.111967,13,40.718755
14.216413,9,40.746292
16.19223,11,40.779606
14.67741,9,40.806635
22.199003,17,40.860168
18.938267,14,40.902409
18.581566,13,40.942231
18.059035,11,40.975304
17.028742,12,41.013315
15.130107,9,41.046495
18.427141,11,41.079293
16.958932,11,41.113228
18.140973,13,41.152891
18.030196,13,41.192062
20.471835,15,41.237288
16.051863,11,41.269674
18.28155,12,41.307125
19.405968,15,41.351567
17.706095,12,41.387123
24.949048,18,41.44614
20.204361,18,41.501844
14.339556,9,41.530479
19.390664,14,41.573461
15.819599,10,41.603461
18.216262,14,41.64588
17.803443,15,41.690233
15.694759,9,41.719886
16.734731,10,41.755082
15.003641,10,41.788115
16.899511,11,41.82084
19.145657,13,41.860285
15.662044,9,41.88797
15.942196,11,41.921152
22.404741,17,41.971601
15.681302,11,42.005109
15.688772,9,42.032518
17.497293,11,42.073344
21.892888,16,42.120571
15.341513,9,42.148106
14.223204,11,42.181453
14.934019,10,42.211652
17.329886,11,42.244579
14.490291,8,42.268843
16.462192,11,42.301478
15.033186,9,42.32895
14.22895,14,42.370365
16.719815,11,42.402975
17.031766,12,42.44457
17.635282,11,42.478293
16.495946,11,42.51155
14.762242,8,42.536702
16.117412,10,42.566835
19.469397,15,42.61282
23.517499,18,42.665627
16.20462,11,42.698808
15.628238,9,42.725927
17.228493,12,42.761171
15.449386,10,42.790729
20.771355,14,42.832797
17.733996,13,42.871747
16.513378,12,42.90826
17.100694,11,42.941009
18.7763,14,42.982968
16.481319,10,43.013179
16.256385,12,43.048728
16.037872,9,43.083187
22.739112,16,43.132611
16.831899,11,43.166566
15.202284,13,43.20553
15.92532,10,43.236311
19.056016,16,43.283875
15.774312,11,43.317892
14.177691,11,43.350718
19.534343,13,43.389581
17.970194,12,43.426072
17.068525,13,43.470748
19.907363,15,43.517598
18.877503,13,43.556994
18.441366,11,43.58989
15.792316,10,43.62084
16.044624,11,43.654407
19.469001,13,43.693577
17.831924,12,43.730988
17.436177,12,43.767476
16.797894,10,43.798499
16.848054,12,43.83447
19.121336,12,43.870772
15.213256,10,43.900874
21.772594,15,43.944942
21.328032,15,43.990546
18.912128,13,44.031992
19.191909,13,44.070547
16.448787,9,44.105052
16.693074,11,44.137679
16.986797,11,44.171712
18.604681,12,44.211588
14.462607,9,44.2398
20.154432,14,44.289266
15.59148,9,44.319324
16.927149,11,44.352522
18.484911,13,44.392399
17.993933,13,44.43116
15.73891,10,44.467026
15.648256,9,44.494112
16.522051,10,44.524773
15.663984,9,44.552547
26.483086,18,44.606673
15.558164,10,44.638091
